Country-Code,Country,Year,Population
DZA,Algeria,2019,43053054
BHR,Bahrain,2019,1641172
EGY,Egypt,2019,100388073
IRQ,Iraq,2019,39309783
ISR,Israel,2019,9053300
JOR,Jordan,2019,10101694
KWT,Kuwait,2019,4207083
LBN,Lebanon,2019,6855713
LBY,Libya,2019,6777452
MAR,Morocco,2019,36471769
OMN,Oman,2019,4974986
PSE,Palestine,2019,4685306
QAT,Qatar,2019,2832067
SAU,Saudi-Arabia,2019,34268528
SON,Sudan,2019,42813238
SSO,South-Sudan,2019,11062113
SYR,Syria,2019,17070135
TUN,Tunisia,2019,11694719
ARE,United-Arab-Emirates,2019,9770529
YEM,Yemen,2019,29161922
SOM,Somalia,2019,15442905
MRT,Mauritania,2019,4525696
