Country, Publication_Date, Tags, Title, URL, Description
ARE, 2021-01-19, News, UAE Covid vaccination doses cross two million,https://www.khaleejtimes.com/news/uae-covid-vaccination-doses-cross-two-million,"COVID vaccination doses cross two million: Official data released on Tuesday said 93,846 doses of the vaccine were administered in the last 24 hours. This takes the total number of doses administered to 2.06 million."
ARE, 2021-04-18, News, "The MOH is authorizing COVID 19 vaccines for pregnant and breastfeeding women", "https://arabic.cnn.com/health/article/2021/04/18/covid-vaccine-eligibility-women-dubai", 
BHR, 2021-04-17, News, "With 33.97% of the population vaccinated, Bahrain ranks second among the fastest vaccination in the Arab world", "https://www.elbalad.news/4779948/%D8%AA%D9%84%D9%82%D9%8A%D8%AD-33-97-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A7-%D8%B6%D9%85%D9%86-%D8%A3%D8%B3%D8%B1%D8%B9-%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B7%D8%B9%D9%8A%D9%85-%D8%B6%D8%AF-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7", 
DZA, 2021-01-17, News, "الجزائر تستعد لاستقبال نصف مليون جرعة من لقاح ""سبوتنيك"" قبل يناير",https://arabic.sputniknews.com/arab_world/202101171047822214-الجزائر-تستعد-لاستقبال-نصف-مليون-جرعة-من-لقاح-سبوتنيك-V-قبل-يناير/,"Algeria  is ready to receive half a million doses of the Russian vaccine Sputnik V."
DZA, 2021-01-14, News, "الجزائر تعلن عن التزامها بتقاسم حصتها من لقاح كوفيد-19 مع تونس",https://www.akhbarona.com/world/318244.html,"Algeria announces its commitment to share its share of the Covid-19 vaccine with Tunisia. On Wednesday, Tunisian Foreign Minister Othman al-Jarandi revealed that Algeria has formally committed to sharing its share of the vaccine against Covid-19 disease."
DZA, 2021-04-14, News, "Vaccination centers planning to vaccinate most of the Algerians at night", "http://www.elbilad.net/article/detail?id=114874",
EGY, 2021-04-16, News, "Statement of the State of Egypt By His Excellency the minister of foreign affairs at the Economic and Social Council Special meeting on ""A Vaccine for all""", "https://estatements.unmeetings.org/estatements/30.0010/20210416/CSNben6Pwbe2/67sYGmkblxbs_ar.pdf",
EGY, 2021-04-16, News|COVAX, "Egypt to receive 4.5M coronavirus vaccine doses until the end of May through COVAX", "https://www.egypttoday.com/Article/1/100943/Egypt-to-receive-4-5M-coronavirus-vaccine-doses-until-end",
IRQ, 2021-04-19, News|COVAX, "Iraq to receive a new shipment of COVID-19 vaccine through COVAX over the next month", "https://www.nrttv.com/en/News.aspx?id=27528&MapID=2", 
JOR, 2021-01-13, News, Jordan launches Covid vaccination campaign,https://www.france24.com/en/live-news/20210113-jordan-launches-covid-vaccination-campaign,"Jordan Launches COVID vaccination campaign on Wednesday, beginning with jabs for healthcare workers, people with chronic illnesses and those over the age of 60. "
