 Publication_Date,Title,URL
2021-04-12, "Coronavirus pandemic 'a long way from over', WHO's Tedros says", "http://www.dailystar.com.lb/Life/Health/2021/Apr-12/519276-coronavirus-pandemic-a-long-way-from-over-whos-tedros-says.ashx"
2021-04-09, "Global groups grapple with stretched COVID vaccine supply", "https://www.cidrap.umn.edu/news-perspective/2021/04/global-groups-grapple-stretched-covid-vaccine-supply"
2021-04-10, "WHO chief criticizes 'shocking' global vaccine divide", "https://www.bbc.com/news/world-56698854"
2021-04-08, "The African Union has dropped their plans to secure 500 million additional AstraZeneca vaccines", "https://www.reuters.com/business/healthcare-pharmaceuticals/african-union-drops-plans-buy-covid-19-vaccines-ssi-pivots-jj-2021-04-08/"
2021-04-09, "COVAX aims to deliver one-third of a billion COVID-19 vaccine doses in H1 – GAVI", "https://whbl.com/2021/04/09/covax-aims-to-deliver-one-third-of-a-billion-covid-19-vaccine-doses-in-h1-gavi/"
2021-04-08, "COVAX backs AstraZeneca as vaccines reach 100 territories", "https://www.france24.com/en/live-news/20210408-covax-backs-astrazeneca-as-vaccines-reach-100-territories"
2021-04-09, "UNHCR is calling countries to give vaccines to migrants and refugees and warns of vaccine discrimination", "https://www.infomigrants.net/ar/post/31415/%D9%85%D9%81%D9%88%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%AA%D8%AF%D8%B9%D9%88-%D9%84%D8%AA%D9%88%D9%81%D9%8A%D8%B1-%D9%84%D9%82%D8%A7%D8%AD-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D9%88%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%8A%D9%86-%D9%88%D8%AA%D8%AD%D8%B0%D8%B1-%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D9%8A%D8%B2-%D9%81%D9%8A-%D8%AA%D9%88%D8%B2%D9%8A%D8%B9-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD"
2021-05-03, "WHO estimates that the final decision on the assessment of Sputnik V will be announced around June or July", "https://www.almanarcomlb/816477 2021-05-03"
2021-05-03, "WHO gives emergency use authorization to Moderna COVID-19 vaccine", "https://www.jagranjosh.com/current-affairs/who-gives-emergency-use-authorization-to-modern"
2021-04-08, "Why equality can't wait", "https://www.pivotalventures.org/equality-cant-wait#:~:text=As%20Melinda%20Gates%20writes%2C%20208equality%20happen%20in%20our%20lifetimes"
2021-05-31, "The Seventy-fourth World Health Assembly closes", "https://www.who.int/news/item/31-05-2021-the-seventy-fourth-world-health-assembly-closes"
2021-05-31, "Time has come’ for pandemic treaty as part of bold reforms WHO’s Tedros", "https://www.reuters.com/world/china/who-agrees-study-major-reforms-meet-again-pandemic-treaty-2021-05-31/"
2021-05-27, "GAVI seek 190 mln COVID-19 vaccine doses by end-June to fill gap", "https://www.reuters.com/business/healthcare-pharmaceuticals/who-gavi-seek-190-mln-covid-19-vaccine-doses-by-end-june-fill-gap-2021-05-27/"
2021-05-27, "Tatement: Call to action to equip COVAX to deliver 2 billion doses in 2021", "https://www.who.int/news/item/27-05-2021-covax-joint-statement-call-to-action-to-equip-covax-to-deliver-2-billion-doses-in-2021"
2021-05-27, "G7, EU to donate 150 million vaccine doses to COVAX program", "https://www.laprensalatina.com/unicef-to-ask-g7-eu-to-donate-150-million-vaccine-doses-to-covax-program/"
2021-05-28, "Sputnik V vaccine agreement as COVAX appeals for 1B dose", "https://www.devex.com/news/unicef-signs-sputnik-v-vaccine-agreement-as-covax-appeals-for-1b-doses-100021"
2021-05-26, "Scandalous vaccine inequality where rich nations control fate of the world", "https://www.salon.com/2021/05/26/who-chief-decries-scandalous-vaccine-inequality-where-rich-nations-control-fate-of-the-world_partner/"
2021-05-28, "WHO says Covid origin investigation is being poisoned by politics", "https://www.cnbc.com/2021/05/28/who-says-covid-origin-investigation-is-being-poisoned-by-politics.html"
